Time (ms), mass (kg), Velocity (rad/s), Motor_current (A), Voltage (V)
Start Going Up
8029,1.50,0.00,0.21,13.79
8046,1.50,0.00,0.22,13.79
8057,1.50,0.00,0.22,13.79
8070,1.50,0.00,0.24,13.79
8083,1.50,0.00,0.24,13.79
8093,1.50,0.00,0.24,13.79
8103,1.50,0.00,0.24,13.79
8112,1.50,0.00,0.24,13.79
8122,1.50,0.00,0.25,13.79
8132,1.50,0.00,0.26,13.79
8142,1.50,0.00,0.26,13.78
8152,1.50,0.00,0.28,13.78
8162,1.50,0.00,0.29,13.78
8170,1.50,0.00,0.29,13.78
8183,1.50,0.00,0.31,13.78
8191,1.50,0.00,0.31,13.78
8201,1.50,0.00,0.33,13.78
8210,1.50,0.00,0.33,13.78
8221,1.50,0.00,0.34,13.77
8230,1.50,0.00,0.35,13.77
8240,1.50,0.00,0.36,13.78
8251,1.50,0.00,0.37,13.77
8261,1.50,0.00,0.38,13.77
8270,1.50,0.00,0.39,13.77
8280,1.50,0.00,0.41,13.77
8292,1.50,0.00,0.42,13.77
8301,1.50,0.00,0.44,13.77
8311,1.50,20.00,0.45,13.77
8325,1.50,20.00,0.47,13.77
8336,1.50,40.00,0.48,13.76
8345,1.50,40.00,0.50,13.76
8355,1.50,60.00,0.50,13.76
8365,1.50,40.00,0.50,13.76
8374,1.50,40.00,0.52,13.75
8384,1.50,20.00,0.55,13.75
8396,1.50,20.00,0.60,13.74
8405,1.50,20.00,0.63,13.75
8415,1.50,20.00,0.63,13.74
8424,1.50,20.00,0.63,13.74
8434,1.50,40.00,0.64,13.74
8444,1.50,40.00,0.64,13.74
8454,1.50,40.00,0.64,13.73
8464,1.50,40.00,0.67,13.73
8473,1.50,40.00,0.69,13.73
8483,1.50,40.00,0.72,13.73
8494,1.50,60.00,0.74,13.73
8503,1.50,40.00,0.74,13.73
8516,1.50,40.00,0.74,13.73
8527,1.50,40.00,0.82,13.71
8537,1.50,20.00,0.85,13.72
8554,1.50,20.00,0.85,13.71
8564,1.50,20.00,0.90,13.71
8574,1.50,20.00,0.93,13.70
8586,1.50,40.00,0.98,13.70
8597,1.50,20.00,0.98,13.70
8605,1.50,40.00,0.99,13.70
8615,1.50,40.00,1.00,13.70
8625,1.50,40.00,1.03,13.69
8635,1.50,20.00,1.07,13.69
8645,1.50,40.00,1.09,13.69
8655,1.50,20.00,1.13,13.68
8665,1.50,40.00,1.16,13.69
8675,1.50,60.00,1.17,13.68
8685,1.50,80.00,1.20,13.68
8695,1.50,60.00,1.22,13.67
8705,1.50,80.00,1.25,13.67
8716,1.50,60.00,1.25,13.68
8726,1.50,60.00,1.25,13.67
8737,1.50,60.00,1.29,13.67
8747,1.50,60.00,1.29,13.67
8756,1.50,60.00,1.29,13.66
8766,1.50,80.00,1.34,13.66
8775,1.50,60.00,1.38,13.66
8785,1.50,60.00,1.38,13.66
8795,1.50,80.00,1.40,13.66
8807,1.50,60.00,1.42,13.66
8816,1.50,40.00,1.45,13.65
8826,1.50,60.00,1.48,13.65
