Time (ms), mass (kg), Velocity (rad/s), Motor_current (A), Voltage (V)
Start Going Up
16561,2.00,0.00,0.24,13.67
16581,2.00,0.00,0.27,13.67
16590,2.00,0.00,0.27,13.67
16602,2.00,0.00,0.28,13.66
16611,2.00,0.00,0.28,13.66
16621,2.00,0.00,0.29,13.66
16631,2.00,0.00,0.28,13.66
16641,2.00,0.00,0.28,13.66
16650,2.00,0.00,0.29,13.66
16660,2.00,0.00,0.29,13.66
16670,2.00,0.00,0.30,13.66
16680,2.00,0.00,0.31,13.66
16690,2.00,0.00,0.32,13.66
16699,2.00,0.00,0.33,13.66
16709,2.00,0.00,0.32,13.66
16719,2.00,0.00,0.33,13.66
16730,2.00,0.00,0.33,13.66
16740,2.00,0.00,0.34,13.66
16750,2.00,0.00,0.35,13.66
16760,2.00,0.00,0.35,13.66
16770,2.00,0.00,0.36,13.66
16780,2.00,0.00,0.37,13.66
16790,2.00,0.00,0.38,13.65
16800,2.00,0.00,0.39,13.65
16809,2.00,0.00,0.42,13.65
16820,2.00,0.00,0.42,13.65
16830,2.00,20.00,0.43,13.65
16839,2.00,20.00,0.44,13.65
16850,2.00,40.00,0.44,13.65
16860,2.00,40.00,0.45,13.65
16871,2.00,40.00,0.46,13.64
16881,2.00,20.00,0.50,13.64
16890,2.00,40.00,0.52,13.64
16901,2.00,20.00,0.53,13.64
16910,2.00,40.00,0.55,13.63
16919,2.00,40.00,0.57,13.63
16929,2.00,60.00,0.58,13.63
16939,2.00,40.00,0.59,13.63
16950,2.00,60.00,0.61,13.63
16960,2.00,40.00,0.63,13.63
16970,2.00,40.00,0.63,13.63
16979,2.00,20.00,0.64,13.63
16988,2.00,20.00,0.68,13.62
16999,2.00,0.00,0.69,13.62
17008,2.00,0.00,0.71,13.62
17019,2.00,20.00,0.71,13.62
17029,2.00,20.00,0.72,13.62
17039,2.00,20.00,0.77,13.60
17048,2.00,40.00,0.80,13.61
17058,2.00,40.00,0.81,13.61
17067,2.00,20.00,0.85,13.59
17081,2.00,40.00,0.90,13.60
17091,2.00,40.00,0.92,13.60
17101,2.00,40.00,0.94,13.59
17111,2.00,60.00,0.96,13.59
17123,2.00,60.00,0.98,13.59
17132,2.00,20.00,0.99,13.59
17142,2.00,20.00,1.00,13.59
17151,2.00,0.00,1.04,13.58
17160,2.00,0.00,1.07,13.58
17171,2.00,0.00,1.13,13.56
17180,2.00,0.00,1.17,13.56
17190,2.00,20.00,1.20,13.56
17200,2.00,20.00,1.24,13.56
17212,2.00,40.00,1.27,13.56
17220,2.00,40.00,1.28,13.56
17230,2.00,40.00,1.29,13.55
17240,2.00,40.00,1.34,13.54
17251,2.00,40.00,1.40,13.54
17261,2.00,40.00,1.40,13.55
17270,2.00,60.00,1.40,13.54
17280,2.00,80.00,1.42,13.54
17290,2.00,60.00,1.42,13.54
17300,2.00,60.00,1.43,13.54
17310,2.00,60.00,1.44,13.54
17319,2.00,40.00,1.47,13.53
17329,2.00,20.00,1.52,13.52
17339,2.00,20.00,1.55,13.52
17348,2.00,40.00,1.63,13.51
17359,2.00,20.00,1.71,13.49
17369,2.00,40.00,1.75,13.50
17381,2.00,60.00,1.74,13.51
17393,2.00,60.00,1.77,13.49
17403,2.00,60.00,1.81,13.49
17413,2.00,40.00,1.82,13.49
17422,2.00,40.00,1.85,13.49
17432,2.00,20.00,1.88,13.48
17441,2.00,40.00,1.91,13.48
17451,2.00,40.00,1.94,13.48
17461,2.00,80.00,1.97,13.47
17471,2.00,80.00,1.99,13.48
17481,2.00,80.00,2.01,13.47
17490,2.00,80.00,2.09,13.45
17499,2.00,60.00,2.12,13.46
17509,2.00,60.00,2.16,13.45
17520,2.00,40.00,2.21,13.44
17529,2.00,20.00,2.22,13.46
17538,2.00,40.00,2.22,13.45
17548,2.00,40.00,2.24,13.44
17560,2.00,40.00,2.30,13.43
17569,2.00,40.00,2.38,13.42
17583,2.00,60.00,2.43,13.42
17593,2.00,80.00,2.42,13.43
17602,2.00,60.00,2.42,13.43
17613,2.00,80.00,2.46,13.42
17622,2.00,60.00,2.49,13.42
17632,2.00,60.00,2.48,13.42
17643,2.00,40.00,2.47,13.42
17652,2.00,60.00,2.55,13.39
17662,2.00,60.00,2.60,13.40
17672,2.00,80.00,2.63,13.40
17682,2.00,60.00,2.65,13.39
17693,2.00,80.00,2.69,13.39
17702,2.00,60.00,2.75,13.38
17711,2.00,40.00,2.79,13.38
17721,2.00,40.00,2.84,13.38
17730,2.00,40.00,2.83,13.38
17740,2.00,60.00,2.88,13.36
17751,2.00,60.00,2.88,13.38
17760,2.00,80.00,2.86,13.38
17769,2.00,100.00,2.91,13.36
17780,2.00,100.00,2.91,13.37
17790,2.00,100.00,2.91,13.37
17800,2.00,100.00,2.91,13.38
17809,2.00,120.00,2.87,13.38
17819,2.00,120.00,2.88,13.38
17829,2.00,140.00,2.85,13.37
17840,2.00,140.00,2.83,13.39
17850,2.00,160.00,2.83,13.37
17860,2.00,160.00,2.78,13.39
17870,2.00,160.00,2.79,13.39
17880,2.00,160.00,2.78,13.38
17889,2.00,180.00,2.77,13.39
17900,2.00,180.00,2.78,13.40
17910,2.00,180.00,2.76,13.38
17919,2.00,200.00,2.74,13.38
17929,2.00,200.00,2.74,13.40
17940,2.00,200.00,2.72,13.39
17949,2.00,200.00,2.66,13.39
17960,2.00,200.00,2.60,13.40
17969,2.00,200.00,2.60,13.41
17979,2.00,200.00,2.61,13.39
17988,2.00,200.00,2.58,13.40
17998,2.00,200.00,2.56,13.43
18008,2.00,200.00,2.47,13.42
18018,2.00,200.00,2.39,13.43
18028,2.00,200.00,2.36,13.44
18037,2.00,180.00,2.37,13.41
18049,2.00,180.00,2.33,13.43
18058,2.00,180.00,2.34,13.42
