Time (ms), mass (kg), Velocity (rad/s), Motor_current (A), Voltage (V)
Start Going Up
5512,2.50,0.00,0.20,13.52
5528,2.50,0.00,0.23,13.52
5538,2.50,0.00,0.23,13.52
5548,2.50,0.00,0.23,13.52
5562,2.50,0.00,0.24,13.52
5572,2.50,0.00,0.24,13.52
5581,2.50,0.00,0.24,13.52
5591,2.50,0.00,0.24,13.52
5601,2.50,0.00,0.25,13.51
5611,2.50,0.00,0.26,13.52
5620,2.50,0.00,0.27,13.52
5630,2.50,0.00,0.28,13.51
5641,2.50,0.00,0.28,13.51
5650,2.50,0.00,0.29,13.51
5660,2.50,0.00,0.30,13.51
5670,2.50,0.00,0.30,13.51
5680,2.50,0.00,0.32,13.51
5689,2.50,20.00,0.33,13.51
5699,2.50,20.00,0.33,13.51
5708,2.50,20.00,0.34,13.51
5718,2.50,20.00,0.34,13.51
5728,2.50,20.00,0.35,13.50
5738,2.50,0.00,0.37,13.50
5748,2.50,0.00,0.37,13.50
5760,2.50,0.00,0.38,13.50
5770,2.50,0.00,0.42,13.49
5780,2.50,0.00,0.43,13.49
5789,2.50,0.00,0.44,13.49
5799,2.50,20.00,0.45,13.50
5808,2.50,20.00,0.45,13.50
5819,2.50,40.00,0.45,13.49
5829,2.50,40.00,0.47,13.49
5838,2.50,40.00,0.50,13.49
5848,2.50,40.00,0.52,13.49
5856,2.50,40.00,0.55,13.48
5868,2.50,40.00,0.57,13.48
5876,2.50,40.00,0.58,13.48
5886,2.50,60.00,0.58,13.48
5896,2.50,40.00,0.59,13.48
5906,2.50,40.00,0.60,13.48
5915,2.50,40.00,0.63,13.48
5925,2.50,40.00,0.64,13.47
5933,2.50,20.00,0.65,13.47
5943,2.50,20.00,0.68,13.46
5953,2.50,20.00,0.71,13.46
5964,2.50,0.00,0.72,13.46
5972,2.50,0.00,0.73,13.46
5982,2.50,20.00,0.77,13.46
5991,2.50,20.00,0.80,13.46
6001,2.50,20.00,0.81,13.46
6011,2.50,20.00,0.81,13.46
6020,2.50,40.00,0.87,13.44
6035,2.50,40.00,0.92,13.44
6045,2.50,60.00,0.95,13.44
6055,2.50,60.00,0.96,13.44
6065,2.50,40.00,0.98,13.43
