Time (ms), mass (kg), Velocity (rad/s), Motor_current (A), Voltage (V)
Start Going Up
8534,3.00,0.00,0.20,13.40
8556,3.00,0.00,0.23,13.40
8566,3.00,0.00,0.23,13.40
8580,3.00,0.00,0.24,13.40
8589,3.00,0.00,0.24,13.40
8598,3.00,0.00,0.25,13.40
8608,3.00,0.00,0.25,13.40
8618,3.00,0.00,0.25,13.40
8627,3.00,0.00,0.26,13.40
8637,3.00,0.00,0.26,13.40
8647,3.00,0.00,0.27,13.40
8657,3.00,0.00,0.28,13.39
8667,3.00,0.00,0.29,13.39
8678,3.00,0.00,0.30,13.39
8689,3.00,0.00,0.30,13.39
8700,3.00,0.00,0.30,13.39
8710,3.00,20.00,0.31,13.39
8720,3.00,20.00,0.32,13.39
8729,3.00,20.00,0.33,13.39
8739,3.00,20.00,0.33,13.39
8748,3.00,20.00,0.34,13.39
8759,3.00,20.00,0.35,13.39
8768,3.00,0.00,0.35,13.39
8778,3.00,0.00,0.37,13.39
8789,3.00,0.00,0.37,13.39
8799,3.00,0.00,0.41,13.38
8809,3.00,20.00,0.42,13.38
8819,3.00,20.00,0.42,13.38
8828,3.00,20.00,0.43,13.38
8841,3.00,20.00,0.43,13.38
8850,3.00,20.00,0.43,13.38
8860,3.00,40.00,0.46,13.37
8870,3.00,40.00,0.48,13.37
8879,3.00,40.00,0.50,13.37
8889,3.00,40.00,0.50,13.37
8899,3.00,20.00,0.55,13.36
8909,3.00,20.00,0.58,13.36
8918,3.00,20.00,0.60,13.36
8929,3.00,40.00,0.60,13.36
8938,3.00,60.00,0.61,13.36
8948,3.00,60.00,0.63,13.35
8957,3.00,40.00,0.64,13.35
8968,3.00,40.00,0.68,13.35
8978,3.00,20.00,0.69,13.35
8988,3.00,0.00,0.70,13.35
8999,3.00,20.00,0.72,13.35
9008,3.00,20.00,0.73,13.35
9017,3.00,20.00,0.74,13.35
9027,3.00,20.00,0.77,13.33
9036,3.00,20.00,0.80,13.34
9047,3.00,20.00,0.82,13.33
9060,3.00,20.00,0.86,13.33
9070,3.00,40.00,0.90,13.32
9079,3.00,40.00,0.93,13.32
9089,3.00,40.00,0.94,13.33
9101,3.00,40.00,0.96,13.32
9111,3.00,40.00,0.98,13.32
9120,3.00,40.00,0.99,13.32
9130,3.00,40.00,1.03,13.31
9140,3.00,40.00,1.07,13.30
9151,3.00,20.00,1.10,13.31
9161,3.00,20.00,1.15,13.29
9171,3.00,0.00,1.19,13.29
9181,3.00,20.00,1.21,13.30
9194,3.00,20.00,1.22,13.29
9204,3.00,20.00,1.26,13.28
9214,3.00,20.00,1.26,13.28
9230,3.00,20.00,1.34,13.28
9240,3.00,0.00,1.37,13.27
9250,3.00,20.00,1.39,13.27
9260,3.00,20.00,1.42,13.27
9270,3.00,20.00,1.43,13.27
9280,3.00,20.00,1.44,13.27
9290,3.00,20.00,1.51,13.25
9299,3.00,20.00,1.55,13.25
9309,3.00,20.00,1.56,13.26
9319,3.00,20.00,1.61,13.24
9328,3.00,40.00,1.68,13.23
9338,3.00,40.00,1.73,13.23
9348,3.00,60.00,1.75,13.24
9358,3.00,60.00,1.77,13.23
9368,3.00,60.00,1.80,13.23
9378,3.00,40.00,1.82,13.23
9389,3.00,40.00,1.82,13.23
9398,3.00,20.00,1.89,13.21
9407,3.00,0.00,1.92,13.21
9418,3.00,20.00,2.00,13.20
9428,3.00,20.00,2.05,13.20
9438,3.00,20.00,2.08,13.20
9448,3.00,40.00,2.12,13.18
9458,3.00,40.00,2.17,13.18
9468,3.00,40.00,2.20,13.18
9477,3.00,40.00,2.22,13.18
9486,3.00,40.00,2.24,13.18
9497,3.00,20.00,2.29,13.17
9509,3.00,20.00,2.34,13.16
9519,3.00,20.00,2.38,13.17
9528,3.00,40.00,2.37,13.17
9539,3.00,60.00,2.41,13.15
9551,3.00,60.00,2.47,13.14
9564,3.00,60.00,2.52,13.15
9574,3.00,40.00,2.55,13.14
9584,3.00,40.00,2.60,13.14
9594,3.00,40.00,2.60,13.14
9604,3.00,20.00,2.65,13.12
9616,3.00,20.00,2.75,13.11
9626,3.00,40.00,2.85,13.10
9636,3.00,20.00,2.90,13.11
9646,3.00,40.00,2.92,13.10
9655,3.00,60.00,2.96,13.10
9666,3.00,60.00,3.00,13.10
9675,3.00,40.00,3.00,13.09
9685,3.00,40.00,3.08,13.08
9695,3.00,20.00,3.09,13.09
9705,3.00,0.00,3.09,13.08
9717,3.00,20.00,3.19,13.05
9726,3.00,20.00,3.32,13.04
9736,3.00,20.00,3.38,13.06
9745,3.00,40.00,3.42,13.04
9754,3.00,40.00,3.47,13.04
9764,3.00,20.00,3.54,13.02
9773,3.00,20.00,3.61,13.02
9784,3.00,40.00,3.61,13.03
9793,3.00,20.00,3.65,13.03
9803,3.00,20.00,3.65,13.02
9815,3.00,40.00,3.74,13.01
9824,3.00,60.00,3.73,13.02
9834,3.00,40.00,3.79,12.99
9843,3.00,40.00,3.79,12.98
9854,3.00,60.00,3.90,12.99
9863,3.00,40.00,3.94,13.00
9874,3.00,20.00,4.05,12.95
9883,3.00,40.00,4.05,12.97
9893,3.00,60.00,4.10,12.97
9902,3.00,60.00,4.12,12.96
9912,3.00,60.00,4.16,12.94
9923,3.00,80.00,4.22,12.93
9934,3.00,80.00,4.37,12.96
9945,3.00,60.00,4.32,12.95
9955,3.00,60.00,4.35,12.94
9964,3.00,60.00,4.35,12.96
9973,3.00,40.00,4.41,12.91
9984,3.00,40.00,4.41,12.94
9992,3.00,60.00,4.47,12.93
10001,3.00,60.00,4.49,12.93
10011,3.00,80.00,4.62,12.89
10022,3.00,100.00,4.63,12.92
10034,3.00,100.00,4.62,12.90
10043,3.00,80.00,4.65,12.87
10052,3.00,60.00,4.74,12.87
10062,3.00,60.00,4.88,12.87
10076,3.00,80.00,4.92,12.89
10086,3.00,100.00,4.91,12.87
10096,3.00,120.00,5.01,12.86
10106,3.00,140.00,5.03,12.87
10115,3.00,140.00,5.02,12.88
10126,3.00,140.00,4.97,12.89
10137,3.00,120.00,4.93,12.89
10147,3.00,140.00,4.88,12.89
10158,3.00,160.00,4.87,12.90
10167,3.00,180.00,4.87,12.90
10177,3.00,180.00,4.86,12.88
10187,3.00,180.00,4.75,12.94
10197,3.00,180.00,4.67,12.92
10207,3.00,180.00,4.63,12.91
10217,3.00,180.00,4.59,12.93
10226,3.00,180.00,4.54,12.93
10236,3.00,180.00,4.52,12.92
10246,3.00,200.00,4.49,12.94
10255,3.00,200.00,4.43,12.94
10265,3.00,200.00,4.38,12.94
10275,3.00,180.00,4.35,12.95
10286,3.00,200.00,4.35,12.94
10295,3.00,160.00,4.31,12.96
10306,3.00,160.00,4.31,12.94
10315,3.00,160.00,4.25,12.95
10325,3.00,160.00,4.20,12.96
10335,3.00,160.00,4.23,12.94
10344,3.00,180.00,4.21,12.95
10354,3.00,180.00,4.20,12.96
10364,3.00,160.00,4.20,12.94
10373,3.00,180.00,4.20,12.97
10383,3.00,180.00,4.14,12.97
10393,3.00,180.00,4.17,12.94
10404,3.00,180.00,4.16,12.96
10413,3.00,180.00,4.19,12.94
10424,3.00,180.00,4.21,12.94
10435,3.00,180.00,4.22,12.96
10444,3.00,180.00,4.22,12.94
10453,3.00,160.00,4.22,12.97
